RNA	Degree	Degree Rank	Sign
IRF4	598.0	1	+
SIT1	528.0	2	+
BANK1	487.0	3	+
MID1	413.0	4	+
CCR7	384.0	5	+
ICOS	350.0	6	+
GZMM	343.0	7	+
PPP2R2B	322.0	8	+
CXCL9	279.0	9	+
PRR15	264.0	10	+
BBOX1	256.0	11	+
FOXA1	243.0	12	+
MLPH	235.0	13	+
ESR1	216.0	14	+
ID4	214.0	15	+
ARRDC5	211.0	16	+
TTC6	175.0	17	+
AGR3	170.0	18	+
IGF1	169.0	19	+
PPARG	155.0	20	+
CA12	147.0	21	+
C5AR2	145.0	22	+
SLC12A3	143.0	23	+
THSD4	134.0	24	+
FSIP1	126.0	25	+
CT62	124.0	26	+
DYNLRB2	116.0	27	+
FLRT2	114.0	28	+
CCL17	112.0	29	+
ITGA7	107.0	30	+
AR	107.0	31	+
SVEP1	104.0	32	+
MGAM2	98.0	33	+
TFF3	98.0	34	+
PTH1R	96.0	35	+
COLCA2	89.0	36	+
KCNIP2	88.0	37	+
CIB3	88.0	38	+
GALNT12	85.0	39	+
BCAS1	82.0	40	+
B3GALT1	75.0	41	+
POU5F1	72.0	42	+
FAM13C	71.0	43	+
TFF1	68.0	44	+
SRARP	68.0	45	+
TAFA3	63.0	46	+
KCNK15	62.0	47	+
MYB	62.0	48	+
HSPB7	61.0	49	+
SCUBE2	60.0	50	+
PROM1	55.0	51	+
SLPI	55.0	52	+
TSPAN1	51.0	53	+
DACH1	49.0	54	+
ZG16B	46.0	55	+
EDN1	43.0	56	+
CCL22	43.0	57	+
PARD6B	42.0	58	+
LEP	41.0	59	+
SLC26A9	40.0	60	+
RAB6C	38.0	61	+
LMX1B	37.0	62	+
DNAJC5B	35.0	63	+
LONRF2	35.0	64	+
GREB1	33.0	65	+
NCMAP	32.0	66	+
DNAAF3	31.0	67	+
C9orf152	30.0	68	+
VIT	28.0	69	+
COLCA1	27.0	70	+
RAB26	27.0	71	+
NUF2	25.0	72	+
CAPN8	24.0	73	+
LIPC	23.0	74	+
TLCD3B	21.0	75	+
PLIN1	20.0	76	+
KLHL13	20.0	77	+
DGAT2	19.0	78	+
UBXN10	19.0	79	+
BIRC5	18.0	80	+
SYTL5	17.0	81	+
FOXM1	17.0	82	+
PR	16.0	83	+
GP2	16.0	84	+
JPH2	15.0	85	+
ANKRD30A	15.0	86	+
GPRIN2	14.0	87	+
ADAMTS15	14.0	88	+
CENPA	14.0	89	+
DMRT2	13.0	90	+
CYTL1	13.0	91	+
TP63	13.0	92	+
SERPINA11	13.0	93	+
RHOH	12.0	94	+
MFSD4A	11.0	95	+
CHN2	11.0	96	+
RAB19	11.0	97	+
HSH2D	11.0	98	+
KIF2C	11.0	99	+
FHOD3	10.0	100	+
CDC45	10.0	101	+
SCTR	9.0	102	+
TRPM8	9.0	103	+
SCNN1A	9.0	104	+
CACNA1D	8.0	105	+
CPEB1	7.0	106	+
GPAT3	7.0	107	+
TPRG1	7.0	108	+
NCCRP1	6.0	109	+
RBBP8NL	6.0	110	+
BTBD11	5.0	111	+
RGS22	5.0	112	+
FAM180A	4.0	113	+
PHKG1	4.0	114	+
CCN5	4.0	115	+
PIK3C2G	4.0	116	+
SLC7A2	4.0	117	+
TMC5	4.0	118	+
NKAIN1	4.0	119	+
CFAP45	4.0	120	+
DNAH5	4.0	121	+
HPDL	3.0	122	+
RIIAD1	3.0	123	+
INAVA	3.0	124	+
PCP2	3.0	125	+
CHST9	2.0	126	+
ABCC11	2.0	127	+
TMC1	1.0	128	+
S100A9	1.0	129	+
GALR1	1.0	130	+
SYT8	1.0	131	+
APOA4	1.0	132	+
CEACAM3	1.0	133	+
KRT15	1.0	134	+
PFKFB1	1.0	135	+
MYZAP	1.0	136	+
HOXC10	1.0	137	+
PKIB	1.0	138	+
MAG	1.0	139	+
TOX3	1.0	140	+
SUSD3	1.0	141	+
AGTR1	1.0	142	+
SPO11	1.0	143	+
PITX1	1.0	144	+
MYMX	1.0	145	+
FAM110C	1.0	146	+
CBFA2T3	1.0	147	+
PLAC1	1.0	148	+
HAP1	1.0	149	+
DTNA	1.0	150	+
KRT37	1.0	151	+
C5orf49	1.0	152	+
MLPH	306.0	1	-
FOXA1	290.0	2	-
PRR15	281.0	3	-
ESR1	267.0	4	-
CA12	254.0	5	-
AGR3	242.0	6	-
C5AR2	239.0	7	-
TTC6	237.0	8	-
FSIP1	236.0	9	-
THSD4	215.0	10	-
MID1	200.0	11	-
CT62	191.0	12	-
LMX1B	184.0	13	-
MYB	183.0	14	-
PARD6B	178.0	15	-
RAB26	175.0	16	-
ZG16B	168.0	17	-
ID4	156.0	18	-
TFF3	152.0	19	-
TLCD3B	149.0	20	-
DYNLRB2	145.0	21	-
BCAS1	136.0	22	-
KCNK15	131.0	23	-
TSPAN1	130.0	24	-
TFF1	120.0	25	-
CIB3	112.0	26	-
